conversation_id,turn_id,speaker,english_text,chinese_text
4,1,Pharmacist,"Hi Yulin, I am Natansh, one of the pharmacists. Can I confirm your name and date of birth? ",你好 Yulin，我是 Natansh，这里的药剂师之一。我可以确认一下你的名字和出生日期吗？
4,2,Patient,"I am Yulin, DOB 12/03/2003. ",我是 Yulin，出生日期是 12/03/2003。
4,3,Pharmacist,Thanks. I can see that you are picking up a blue reliever puffer (Ventolin/salbutamol) and a spacer. Have you used a spacer before? ,谢谢。我看到你今天要拿的是蓝色的吸入气雾剂（Ventolin/salbutamol）和一个储雾罐。你之前用过储雾罐吗？
4,4,Patient,Not really. Could you show me? ,不太会。你可以教我吗？
4,5,Pharmacist,Absolutely. Let’s run through it. ,当然可以。我们一起来过一遍使用方法。
4,6,Pharmacist,"1. Shake the puffer well; remove the cap.  2.Check mouthpiece is clear. Prime if it’s new or not used for a while (a few test sprays into the air as per the device leaflet). 3.Insert the puffer into the spacer. 4.Sit upright. Breathe out gently away from the mouthpiece. 5.Seal lips around the spacer mouthpiece. 6.Press once on the puffer to release one puff into the spacer. 7.Then either:   Take one slow, deep breath in, hold up to 10 seconds, then breathe out or Breathe in and out normally for 4 breaths through the spacer. 8.If more than one dose is needed, repeat all steps. 9.Replace cap on the puffer. 
",1. 充分摇晃喷剂，并取下盖子。2. 检查吸嘴是否通畅。如果是新吸入器或很久没用，需要先‘试喷’几次（按说明书在空气中喷几下）。3. 将喷剂插入储雾罐。4. 坐直身体，对着吸嘴的反方向轻轻呼气。5. 用嘴唇紧密包住吸嘴。6. 按压气雾剂一次，把药喷进储雾罐里。7. 然后任选以下方法之一：• 缓慢深吸一口气，屏气最多 10 秒，然后呼气；• 或者通过储雾罐正常吸气和呼气 4 次。8. 如果需要多于一剂，请从头重复所有步骤。9. 最后，把喷剂盖子盖回去。
4,7,Pharmacist,"Usual reliever dosing: 1-2 puffs as needed for symptoms. If you regularly need the reliever more than 2–3 times per week, that suggests poor control - please see your GP for a preventer plan. ",平时的缓解用法是：有症状时吸 1–2 下。如果你一周需要使用气雾剂超过 2–3 次，这说明你的哮喘控制得不太好——请去看你的全科医生，讨论预防用药的方案。
4,8,Pharmacist,"If symptoms are getting worse (first aid cue): 4×4×4: Take 4 puffs, one at a time via spacer, 4 breaths after each puff, wait 4 minutes. If still not improving, repeat. If still not better or you are worried (can’t speak full sentences, lips/skin turning blue, symptoms worsening), call 000. Keep taking 4 puffs every 4 minutes while waiting. ",如果症状开始加重（急救提示）：使用 4×4×4 方法：通过储雾器一次吸 1 下，共吸 4 下；每一下之后正常呼吸 4 次；等 4 分钟。如果没有改善，可以再重复一次。如果仍然没有好转，或者你感到担心（比如无法完整说句子、嘴唇或皮肤发蓝、症状持续恶化），请立即拨打 000。在等救护车时，持续每 4 分钟吸 4 下。
4,9,Pharmacist,"Cleaning & care of the spacer: Weekly or monthly (check manufacturer): wash in warm, soapy water, and air dry without rinsing or wiping - this leaves a thin film that reduces static and helps the dose get through. Check for cracks and the valve movement every 6-12 months; replace about yearly or sooner if damaged. Store the puffer and spacer dry, away from heat. If your puffer has a dose counter, keep an eye on it; if not, mark the start date and bring it in if you are unsure. ",关于储雾罐的清洁与保养：每周或每月清洁一次（按制造商说明）：用温水加少量清洁剂清洗，然后自然风干，不要冲洗或擦干——这样会留下薄薄一层涂层，可以减少静电，让药物更顺利进入肺部。每 6–12 个月检查是否有裂缝、阀门是否活动常；大约每年更换一次，如有损坏则需要更早更换。将喷剂和储雾罐保持干燥储存，避免高温环境。如果你的吸入器有计数器，请注意剩余剂量；如果没有，可以在开始使用的那天做标记，如果不确定是否还有药，带来给我们检查。
4,10,Pharmacist,"Side effects to know aboutL:You might notice mild tremor or faster heartbeat after several puffs - usually short lived. If you need many puffs or relief doesn’t last, that’s a sign to go see your GP. ",需要注意的副作用：在连续吸了几下之后，你可能会感觉轻微手抖或心跳加快——通常都是短暂的。如果你需要吸很多下才能缓解，或者缓解的效果维持不久，这就表示你的控制不够好，需要去看全科医生。
